"34 Rolleston Street, Mount Cook, Wellington"
"62/40 The Terrace, Wellington Central, Wellington"
"64/40 The Terrace, Wellington Central, Wellington"
"265 Tinakori Road, Thorndon, Wellington"
"10 Tainui Terrace, Mount Cook, Wellington"
"229 Cuba Street, Te Aro, Wellington"
"4J/242 Taranaki Street, Mount Cook, Wellington"
"134 Tinakori Road, Thorndon, Wellington"
"76 Tinakori Road, Thorndon, Wellington"
"12 Tainui Terrace, Mount Cook, Wellington"
"90 Elizabeth Street, Mount Victoria, Wellington"
"6 Fallowfield Avenue, Mount Victoria, Wellington"
"92 Elizabeth Street, Mount Victoria, Wellington"
"3 Ranfurly Terrace, Mount Cook, Wellington"
"278 The Terrace, Te Aro, Wellington"
"45 Rugby Street, Mount Cook, Wellington"
"32 Wigan Street, Te Aro, Wellington"
"G32/107 Thorndon Quay, Pipitea, Wellington"
"8 Armour Avenue, Mount Victoria, Wellington"
"57 Wallace Street, Mount Cook, Wellington"
"65 Wallace Street, Mount Cook, Wellington"
"23 Wright Street, Mount Cook, Wellington"
"14 Turnbull Street, Thorndon, Wellington"
"2/330 Tinakori Road, Thorndon, Wellington"
"146 Adelaide Road, Mount Cook, Wellington"
"25 Tinakori Road, Thorndon, Wellington"
"203 The Terrace, Wellington Central, Wellington"
"78 Tinakori Road, Thorndon, Wellington"
"55 Hanson Street, Mount Cook, Wellington"
"G12/107 Thorndon Quay, Pipitea, Wellington"
"20 Leeds Street, Te Aro, Wellington"
"148 Aro Street, Aro Valley, Wellington"
"91A The Terrace, Wellington Central, Wellington"
"34/70 Hobson Street, Thorndon, Wellington"
"29 Frederick Street, Te Aro, Wellington"
"11/7 Eva Street, Te Aro, Wellington"
"17 Jessie Street, Te Aro, Wellington"
"123A Riddiford Street, Newtown, Wellington"
"291 The Terrace, Te Aro, Wellington"
"227 Cuba Street, Te Aro, Wellington"
"10/85 Elizabeth Street, Mount Victoria, Wellington"
"122 Tinakori Road, Thorndon, Wellington"
"21 Tinakori Road, Thorndon, Wellington"
"1 Arthur Street, Te Aro, Wellington"
"163 Riddiford Street, Newtown, Wellington"
"172A Riddiford Street, Newtown, Wellington"
"2/158 Cuba Street, Te Aro, Wellington"
"5/158 Cuba Street, Te Aro, Wellington"
"34 Brougham Street, Mount Victoria, Wellington"
"96 Tasman Street, Mount Cook, Wellington"
"9/158 Cuba Street, Te Aro, Wellington"
"10/158 Cuba Street, Te Aro, Wellington"
"13/158 Cuba Street, Te Aro, Wellington"
"10 Cable Car Lane, Wellington Central, Wellington"
"194/70 Hopper Street, Mount Cook, Wellington"
"11/36 Queen Street, Mount Victoria, Wellington"
"126 Austin Street, Mount Victoria, Wellington"
"198/70 Hopper Street, Mount Cook, Wellington"
"23 Epuni Street, Aro Valley, Wellington"
"96 Elizabeth Street, Mount Victoria, Wellington"
"G04/70 Hobson Street, Thorndon, Wellington"
"11/70 Hobson Street, Thorndon, Wellington"
"128 Tinakori Road, Thorndon, Wellington"
"5 Levina Avenue, Aro Valley, Wellington"
"G05/70 Hobson Street, Thorndon, Wellington"
"43 Majoribanks Street, Mount Victoria, Wellington"
"108 Abel Smith Street, Te Aro, Wellington"
"19 Wright Street, Mount Cook, Wellington"
"247 Cuba Street, Te Aro, Wellington"
"G7/107 Thorndon Quay, Pipitea, Wellington"
"62 Rolleston Street, Mount Cook, Wellington"
"5 Ranfurly Terrace, Mount Cook, Wellington"
"M7/107 Thorndon Quay, Pipitea, Wellington"
"70 Aro Street, Aro Valley, Wellington"
"8 Webb Street, Te Aro, Wellington"
"82/70 Hobson Street, Thorndon, Wellington"
"1/1 Walter Street, Te Aro, Wellington"
"4B St Mary Street, Thorndon, Wellington"
"302/46 Nairn Street, Mount Cook, Wellington"
"45 Haining Street, Te Aro, Wellington"
"113/40 The Terrace, Wellington Central, Wellington"
"115/40 The Terrace, Wellington Central, Wellington"
"55 Majoribanks Street, Mount Victoria, Wellington"
"59 Elizabeth Street, Mount Victoria, Wellington"
"2/72 Tory Street, Te Aro, Wellington"
"5/72 Tory Street, Te Aro, Wellington"
"11/72 Tory Street, Te Aro, Wellington"
"12/72 Tory Street, Te Aro, Wellington"
"315A The Terrace, Te Aro, Wellington"
"15/72 Tory Street, Te Aro, Wellington"
"26 Murphy Street, Thorndon, Wellington"
"16/72 Tory Street, Te Aro, Wellington"
"53 Murphy Street, Thorndon, Wellington"
"19/72 Tory Street, Te Aro, Wellington"
"22/72 Tory Street, Te Aro, Wellington"
"29/72 Tory Street, Te Aro, Wellington"
"32/72 Tory Street, Te Aro, Wellington"
"368 Tinakori Road, Thorndon, Wellington"
"37/72 Tory Street, Te Aro, Wellington"
"7/85 Elizabeth Street, Mount Victoria, Wellington"
"47/72 Tory Street, Te Aro, Wellington"
"200 Willis Street, Te Aro, Wellington"
"52/72 Tory Street, Te Aro, Wellington"
"54/72 Tory Street, Te Aro, Wellington"
"57/72 Tory Street, Te Aro, Wellington"
"100 Tasman Street, Mount Cook, Wellington"
"59/72 Tory Street, Te Aro, Wellington"
"65/72 Tory Street, Te Aro, Wellington"
"67/72 Tory Street, Te Aro, Wellington"
"68/72 Tory Street, Te Aro, Wellington"
"78/72 Tory Street, Te Aro, Wellington"
"4 Coombe Street, Mount Cook, Wellington"
"97/72 Tory Street, Te Aro, Wellington"
"103B Thorndon Quay, Pipitea, Wellington"
"60 Buckle Street, Te Aro, Wellington"
"M2/107 Thorndon Quay, Pipitea, Wellington"
"98/72 Tory Street, Te Aro, Wellington"
"34 Frederick Street, Te Aro, Wellington"
"M13/107 Thorndon Quay, Pipitea, Wellington"
"G19/107 Thorndon Quay, Pipitea, Wellington"
"101/72 Tory Street, Te Aro, Wellington"
"104/72 Tory Street, Te Aro, Wellington"
"114/72 Tory Street, Te Aro, Wellington"
"346 Tinakori Road, Thorndon, Wellington"
"322 Tinakori Road, Thorndon, Wellington"
"117/72 Tory Street, Te Aro, Wellington"
"77 Vivian Street, Te Aro, Wellington"
"44 Aurora Terrace, Kelburn, Wellington"
"120/72 Tory Street, Te Aro, Wellington"
"219/107 Thorndon Quay, Pipitea, Wellington"
"125/72 Tory Street, Te Aro, Wellington"
"135/72 Tory Street, Te Aro, Wellington"
"138/72 Tory Street, Te Aro, Wellington"
"140/72 Tory Street, Te Aro, Wellington"
"141/72 Tory Street, Te Aro, Wellington"
"237 Cuba Street, Te Aro, Wellington"
"96 Webb Street, Te Aro, Wellington"
"164 Aro Street, Aro Valley, Wellington"
"90 The Terrace, Wellington Central, Wellington"
"G8/107 Thorndon Quay, Pipitea, Wellington"
"28 Kelburn Parade, Kelburn, Wellington"
"102/107 Thorndon Quay, Pipitea, Wellington"
"49 Boulcott Street, Wellington Central, Wellington"
"60 Brooklyn Road, Brooklyn, Wellington"
"17 Epuni Street, Aro Valley, Wellington"
"215 Aro Street, Aro Valley, Wellington"
"9 Aorangi Terrace, Thorndon, Wellington"
"16 Turnbull Street, Thorndon, Wellington"
"35 Mercer Street, Wellington Central, Wellington"
"6/78 Hutt Road, Pipitea, Wellington"
"7/78 Hutt Road, Pipitea, Wellington"
"34 Queen Street, Mount Victoria, Wellington"
"140 Adelaide Road, Mount Cook, Wellington"
"2/1 Brooklyn Road, Mount Cook, Wellington"
"41A Majoribanks Street, Mount Victoria, Wellington"
"4 Hayward Terrace, Mount Cook, Wellington"
"89 Aro Street, Aro Valley, Wellington"
"11 Aorangi Terrace, Thorndon, Wellington"
"154A Tinakori Road, Thorndon, Wellington"
"261 Tinakori Road, Thorndon, Wellington"
"1A Majoribanks Street, Mount Victoria, Wellington"
"7/5 Eva Street, Te Aro, Wellington"
"12/5 Eva Street, Te Aro, Wellington"
"37 Epuni Street, Aro Valley, Wellington"
"15/5 Eva Street, Te Aro, Wellington"
"28/5 Eva Street, Te Aro, Wellington"
"38/5 Eva Street, Te Aro, Wellington"
"46/5 Eva Street, Te Aro, Wellington"
"48/5 Eva Street, Te Aro, Wellington"
"7/158 Cuba Street, Te Aro, Wellington"
"57/5 Eva Street, Te Aro, Wellington"
"8/158 Cuba Street, Te Aro, Wellington"
"58/5 Eva Street, Te Aro, Wellington"
"G07/70 Hobson Street, Thorndon, Wellington"
"11/158 Cuba Street, Te Aro, Wellington"
"14/158 Cuba Street, Te Aro, Wellington"
"17 Wright Street, Mount Cook, Wellington"
"27 Epuni Street, Aro Valley, Wellington"
"127/40 The Terrace, Wellington Central, Wellington"
"128/40 The Terrace, Wellington Central, Wellington"
"G20/107 Thorndon Quay, Pipitea, Wellington"
"2B Staunton Avenue, Mount Cook, Wellington"
"50 Tory Street, Te Aro, Wellington"
"150 Wakefield Street, Te Aro, Wellington"
"257 Thorndon Quay, Pipitea, Wellington"
"55/40 The Terrace, Wellington Central, Wellington"
"57/40 The Terrace, Wellington Central, Wellington"
"356A Tinakori Road, Thorndon, Wellington"
"9J/242 Taranaki Street, Mount Cook, Wellington"
"44/5 Eva Street, Te Aro, Wellington"
"47/5 Eva Street, Te Aro, Wellington"
"28/70 Hobson Street, Thorndon, Wellington"
"61 Rugby Street, Mount Cook, Wellington"
"79 Elizabeth Street, Mount Victoria, Wellington"
"53 Epuni Street, Aro Valley, Wellington"
"11 Pirie Street, Mount Victoria, Wellington"
"203/46 Nairn Street, Mount Cook, Wellington"
"204/46 Nairn Street, Mount Cook, Wellington"
"205/46 Nairn Street, Mount Cook, Wellington"
"1004/46 Nairn Street, Mount Cook, Wellington"
"1007/46 Nairn Street, Mount Cook, Wellington"
"1016/46 Nairn Street, Mount Cook, Wellington"
"1019/46 Nairn Street, Mount Cook, Wellington"
"1020/46 Nairn Street, Mount Cook, Wellington"
"201 Aro Street, Aro Valley, Wellington"
"1021/46 Nairn Street, Mount Cook, Wellington"
"141A Ghuznee Street, Te Aro, Wellington"
"42/70 Hobson Street, Thorndon, Wellington"
"14 Murphy Street, Thorndon, Wellington"
"3/14 Leeds Street, Te Aro, Wellington"
"16/19 Drummond Street, Mount Cook, Wellington"
"4/14 Leeds Street, Te Aro, Wellington"
"7/14 Leeds Street, Te Aro, Wellington"
"81 Elizabeth Street, Mount Victoria, Wellington"
"15/14 Leeds Street, Te Aro, Wellington"
"17/14 Leeds Street, Te Aro, Wellington"
"18/14 Leeds Street, Te Aro, Wellington"
"297 Tinakori Road, Thorndon, Wellington"
"22/14 Leeds Street, Te Aro, Wellington"
